trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
none__service_termination__01,none,service_termination,1,2026-07-01T22:01:56.375034+00:00,2026-07-01T22:07:56.161436+00:00,ok,,698,0,698,1.0,25041.0,25060.0,25080.0,23428.0,1.97,,0.02386934673366834,184549376.0,0.006223083008080721,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701220201631
none__service_termination__02,none,service_termination,2,2026-07-01T22:08:06.173354+00:00,2026-07-01T22:14:05.747161+00:00,ok,,699,0,699,1.0,25033.0,25059.0,25081.0,23397.0,1.97,,0.021110831867303344,217055232.0,0.011292334063909948,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701220810071
none__service_termination__03,none,service_termination,3,2026-07-01T22:14:15.750591+00:00,2026-07-01T22:20:15.786500+00:00,ok,,699,0,699,1.0,25030.0,25044.0,25076.0,23426.0,1.96,,0.017469560614081524,225443840.0,0.007785166963003576,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701221419816
none__service_termination__04,none,service_termination,4,2026-07-01T22:20:25.793447+00:00,2026-07-01T22:26:26.095018+00:00,ok,,698,0,698,1.0,25032.0,25064.0,25153.0,23426.0,1.97,,0.038316107890093265,229638144.0,0.007613499998115003,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701222030549
none__service_termination__05,none,service_termination,5,2026-07-01T22:26:36.106779+00:00,2026-07-01T22:32:36.112810+00:00,ok,,698,0,698,1.0,25028.0,25048.0,25066.0,23456.0,1.97,,0.012462612163509471,230686720.0,0.007582042017020285,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701222640243
none__service_termination__06,none,service_termination,6,2026-07-01T22:32:46.118328+00:00,2026-07-01T22:38:46.282861+00:00,ok,,698,0,698,1.0,25026.0,25039.0,25064.0,23454.0,1.97,,0.022588832487309644,232783864.0,0.007131208083592355,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701223250218
none__service_termination__07,none,service_termination,7,2026-07-01T22:38:56.287876+00:00,2026-07-01T22:44:56.635749+00:00,ok,,698,0,698,1.0,25029.0,25048.0,25063.0,23457.0,1.97,,0.01568334578043316,231735296.0,0.008242124924436212,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701223900649
none__service_termination__08,none,service_termination,8,2026-07-01T22:45:06.642989+00:00,2026-07-01T22:51:06.451001+00:00,ok,,700,0,700,1.0,25026.0,25043.0,25627.0,23387.0,1.97,,0.013134629957059864,231735296.0,0.010872750077396631,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701224510364
none__service_termination__09,none,service_termination,9,2026-07-01T22:51:16.458452+00:00,2026-07-01T22:57:17.726297+00:00,ok,,698,0,698,1.0,25025.0,25044.0,25069.0,23453.0,1.97,,0.01310483870967742,228589568.0,0.00921091705095023,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701225121757
none__service_termination__10,none,service_termination,10,2026-07-01T22:57:27.728117+00:00,2026-07-01T23:03:27.957518+00:00,ok,,698,0,698,1.0,25026.0,25044.0,25070.0,23454.0,1.97,,0.02440251572327044,234881024.0,0.01038362504914403,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701225732036
