trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
none__service_termination__01,none,service_termination,1,2026-07-05T16:19:31.695825+00:00,2026-07-05T16:25:38.562753+00:00,ok,,697.0,0.0,697.0,1.0,25042.0,25078.0,25131.0,23477.0,1.96,1.0,0.3333333333333333,195035136.0,0.0165261249994728,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705161946413
none__service_termination__02,none,service_termination,2,2026-07-05T16:25:48.570884+00:00,2026-07-05T16:31:51.047158+00:00,ok,,698.0,0.0,698.0,1.0,25035.0,25051.0,25077.0,23464.0,1.96,,0.0146022155085599,218103808.0,0.0071116250001068,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705162554801
none__service_termination__03,none,service_termination,3,2026-07-05T16:32:01.053927+00:00,2026-07-05T16:38:03.128182+00:00,ok,,698.0,0.0,698.0,1.0,25029.0,25045.0,25075.0,23460.0,1.97,,0.0205926670015067,234881024.0,0.011389916000553,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705163206965
none__service_termination__04,none,service_termination,4,2026-07-05T16:38:13.134528+00:00,2026-07-05T16:44:14.277657+00:00,ok,,698.0,0.0,698.0,1.0,25026.0,25037.0,25067.0,23453.0,1.97,,0.0218373493975903,233832448.0,0.0057615419991634,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705163818294
none__service_termination__05,none,service_termination,5,2026-07-05T16:44:24.284434+00:00,2026-07-05T16:50:26.105704+00:00,ok,,698.0,0.0,698.0,1.0,25027.0,25049.0,25073.0,23455.0,1.97,,0.0150829562594268,232783872.0,0.0145430840002518,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705164430079
none__service_termination__06,none,service_termination,6,2026-07-05T16:50:36.117209+00:00,2026-07-05T18:27:58.809867+00:00,ok,,895.0,0.0,895.0,1.0,19997.0,25030.0,30055.0,18232.0,2.54,,0.0252123869553302,233832448.0,0.0066503339985501,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705165041739
none__service_termination__07,none,service_termination,7,2026-07-05T18:28:08.823619+00:00,2026-07-05T19:28:19.453021+00:00,ok,,891.0,0.0,891.0,1.0,19971.0,25015.0,30020.0,18270.0,2.55,,0.1366208569118835,233832448.0,0.0072062910003296,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705182814234
none__service_termination__08,none,service_termination,8,2026-07-05T19:28:29.461627+00:00,2026-07-05T19:34:34.077208+00:00,ok,,698.0,0.0,698.0,1.0,25024.0,25043.0,25076.0,23452.0,1.97,,0.0251130085384229,233832448.0,0.00817408399962,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705192837104
none__service_termination__09,none,service_termination,9,2026-07-05T19:34:44.084243+00:00,2026-07-05T19:40:45.859557+00:00,ok,,698.0,0.0,698.0,1.0,25024.0,25037.0,25064.0,23451.0,1.97,,0.0146575688653019,233832448.0,0.0084987500013085,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705193449820
none__service_termination__10,none,service_termination,10,2026-07-05T19:40:55.863163+00:00,2026-07-05T19:46:57.798714+00:00,ok,,698.0,0.0,698.0,1.0,25022.0,25035.0,25087.0,23452.0,1.97,,0.0260913196186653,243269632.0,0.0072547920008219,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705194101813
none__service_termination__11,none,service_termination,11,2026-07-05T19:47:07.805706+00:00,2026-07-05T19:53:09.197724+00:00,ok,,698.0,0.0,698.0,1.0,25021.0,25037.0,25101.0,23450.0,1.97,,0.0268103232272613,244318208.0,0.0094640830011485,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705194713226
none__service_termination__12,none,service_termination,12,2026-07-05T19:53:19.204651+00:00,2026-07-05T19:59:20.420174+00:00,ok,,700.0,0.0,700.0,1.0,25019.0,25030.0,25445.0,23380.0,1.97,,0.022904606091115,244318208.0,0.0089735000001383,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260705195324420
