,,gatling_error_rate,gatling_error_rate,gatling_error_rate,gatling_p99_ms,gatling_p99_ms,gatling_p99_ms,gatling_mean_requests_per_sec,gatling_mean_requests_per_sec,gatling_mean_requests_per_sec,peak_process_cpu_usage,peak_process_cpu_usage,peak_process_cpu_usage,peak_jvm_heap_used_bytes,peak_jvm_heap_used_bytes,peak_jvm_heap_used_bytes
,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
chaos_scenario,resilience_profile,,,,,,,,,,,,,,,
service_termination,none,1.0,1.0,0.0,25613.15,25076.5,1518.178,2.0265,1.97,0.1774,0.0415,0.0212,0.074,236716031.6,241696768.0,12032200.3858
service_termination,retry,1.0,1.0,0.0,46566.75,46554.5,91.5118,1.252,1.25,0.012,0.0716,0.0499,0.0554,202637311.6,210239484.0,16470444.8536
service_termination,bulkhead,1.0,1.0,0.0,25390.7,25124.0,1068.8341,2.077,2.04,0.0758,0.037,0.0322,0.0181,132216196.0,131072000.0,3489307.8674
service_termination,circuit-breaker,1.0,1.0,0.0,662.75,611.5,257.9714,490.0505,445.775,140.5751,0.5664,0.5294,0.1789,273206476.0,253231104.0,114146831.9782
service_termination,combined,1.0,1.0,0.0,12631.9,12570.5,187.819,5.8835,5.86,0.0621,0.0493,0.0409,0.0209,71775027.2,67108864.0,8913545.2494
latency_injection,none,0.0102,0.0112,0.0043,22779.6,22778.0,92.687,2.2885,2.29,0.0075,0.0143,0.0117,0.0135,243059916.8,243793920.0,1652700.3236
latency_injection,retry,0.0004,0.0,0.0006,24837.45,24711.0,584.0817,2.2395,2.24,0.0157,0.0266,0.0233,0.0142,214958080.0,214958080.0,1443358.9954
latency_injection,bulkhead,0.0374,0.023,0.0337,22951.5,22902.5,243.2381,2.2925,2.29,0.0129,0.0753,0.0306,0.1372,132311982.0,131072000.0,3194282.9637
latency_injection,circuit-breaker,0.0324,0.0326,0.0093,22760.7,22757.5,149.7904,2.319,2.32,0.0141,0.0439,0.0415,0.0156,431122021.6,436207612.0,13723617.0304
latency_injection,combined,0.0116,0.0,0.0504,25404.1,24839.5,1185.8673,2.236,2.24,0.0683,0.0463,0.0294,0.0515,86769664.0,87031808.0,1121896.3716
partial_failure,none,0.0184,0.0177,0.0055,11707.2,11616.0,382.6585,4.558,4.56,0.0177,0.026,0.0163,0.0397,242692914.4,242745340.0,1997515.4502
partial_failure,retry,0.0,0.0,0.0,14746.6,14785.5,405.2547,4.321,4.315,0.0447,0.0375,0.0364,0.0104,214905651.2,215482368.0,1878062.1832
partial_failure,bulkhead,0.0518,0.0459,0.0173,12181.85,11813.5,933.161,4.51,4.525,0.0471,0.0771,0.0502,0.0861,127023185.6,126767708.0,1930081.5595
partial_failure,circuit-breaker,0.1363,0.0385,0.2948,10883.35,11697.0,2846.1225,23.553,4.545,65.0127,0.1023,0.024,0.2158,252549529.6,255328256.0,79250701.7127
partial_failure,combined,0.0044,0.0,0.0137,14800.6,14823.5,374.4415,4.3155,4.325,0.0505,0.0311,0.0275,0.016,86664806.4,87031808.0,917602.5451
cascading_failure,none,0.008,0.0087,0.0035,22938.95,22812.5,553.7705,2.286,2.29,0.0082,0.0241,0.0083,0.0593,243322060.4,243269632.0,1338299.2381
cascading_failure,retry,0.0006,0.0,0.0009,25157.35,25140.5,673.1211,2.2335,2.23,0.0187,0.0328,0.0233,0.0187,215272652.4,214958080.0,1321984.6053
cascading_failure,bulkhead,0.0289,0.0259,0.0132,22998.55,22828.0,742.5028,2.298,2.3,0.0101,0.0553,0.0321,0.0807,126405836.8,126877696.0,719672.0404
cascading_failure,circuit-breaker,0.0259,0.0248,0.0059,22815.95,22819.0,117.0567,2.2985,2.3,0.0099,0.0333,0.0313,0.0151,256167116.4,256376832.0,1183397.2699
cascading_failure,combined,0.0008,0.0013,0.0008,25072.9,25048.5,503.5717,2.2325,2.235,0.0133,0.0264,0.0238,0.0097,87031808.0,87031808.0,833323.7045
