scenario,metric,profile_a,profile_b,p_adj_holm,significant
service_termination,gatling_p99_ms,bulkhead,circuit-breaker,0.0,True
service_termination,gatling_p99_ms,bulkhead,combined,0.00129,True
service_termination,gatling_p99_ms,bulkhead,none,0.38917,False
service_termination,gatling_p99_ms,bulkhead,retry,0.01807,True
service_termination,gatling_p99_ms,circuit-breaker,combined,0.0585,False
service_termination,gatling_p99_ms,circuit-breaker,none,0.0,True
service_termination,gatling_p99_ms,circuit-breaker,retry,0.0,True
service_termination,gatling_p99_ms,combined,none,0.01807,True
service_termination,gatling_p99_ms,combined,retry,0.0,True
service_termination,gatling_p99_ms,none,retry,0.00129,True
service_termination,gatling_mean_requests_per_sec,bulkhead,circuit-breaker,3e-05,True
service_termination,gatling_mean_requests_per_sec,bulkhead,combined,0.06486,False
service_termination,gatling_mean_requests_per_sec,bulkhead,none,0.0804,False
service_termination,gatling_mean_requests_per_sec,bulkhead,retry,0.0002,True
service_termination,gatling_mean_requests_per_sec,circuit-breaker,combined,0.06486,False
service_termination,gatling_mean_requests_per_sec,circuit-breaker,none,0.0,True
service_termination,gatling_mean_requests_per_sec,circuit-breaker,retry,0.0,True
service_termination,gatling_mean_requests_per_sec,combined,none,0.0002,True
service_termination,gatling_mean_requests_per_sec,combined,retry,0.0,True
service_termination,gatling_mean_requests_per_sec,none,retry,0.06486,False
service_termination,peak_process_cpu_usage,bulkhead,circuit-breaker,0.0,True
service_termination,peak_process_cpu_usage,bulkhead,combined,0.33252,False
service_termination,peak_process_cpu_usage,bulkhead,none,0.28288,False
service_termination,peak_process_cpu_usage,bulkhead,retry,0.12881,False
service_termination,peak_process_cpu_usage,circuit-breaker,combined,5e-05,True
service_termination,peak_process_cpu_usage,circuit-breaker,none,0.0,True
service_termination,peak_process_cpu_usage,circuit-breaker,retry,0.00097,True
service_termination,peak_process_cpu_usage,combined,none,0.01116,True
service_termination,peak_process_cpu_usage,combined,retry,0.44872,False
service_termination,peak_process_cpu_usage,none,retry,0.00095,True
service_termination,peak_jvm_heap_used_bytes,bulkhead,circuit-breaker,0.0,True
service_termination,peak_jvm_heap_used_bytes,bulkhead,combined,0.0584,False
service_termination,peak_jvm_heap_used_bytes,bulkhead,none,0.0,True
service_termination,peak_jvm_heap_used_bytes,bulkhead,retry,0.03153,True
service_termination,peak_jvm_heap_used_bytes,circuit-breaker,combined,0.0,True
service_termination,peak_jvm_heap_used_bytes,circuit-breaker,none,0.90885,False
service_termination,peak_jvm_heap_used_bytes,circuit-breaker,retry,0.04934,True
service_termination,peak_jvm_heap_used_bytes,combined,none,0.0,True
service_termination,peak_jvm_heap_used_bytes,combined,retry,1e-05,True
service_termination,peak_jvm_heap_used_bytes,none,retry,0.05083,False
latency_injection,gatling_error_rate,bulkhead,circuit-breaker,1.0,False
latency_injection,gatling_error_rate,bulkhead,combined,0.0,True
latency_injection,gatling_error_rate,bulkhead,none,0.02594,True
latency_injection,gatling_error_rate,bulkhead,retry,0.0,True
latency_injection,gatling_error_rate,circuit-breaker,combined,0.0,True
latency_injection,gatling_error_rate,circuit-breaker,none,0.00493,True
latency_injection,gatling_error_rate,circuit-breaker,retry,0.0,True
latency_injection,gatling_error_rate,combined,none,0.00977,True
latency_injection,gatling_error_rate,combined,retry,1.0,False
latency_injection,gatling_error_rate,none,retry,0.00299,True
latency_injection,gatling_p99_ms,bulkhead,circuit-breaker,0.22864,False
latency_injection,gatling_p99_ms,bulkhead,combined,4e-05,True
latency_injection,gatling_p99_ms,bulkhead,none,0.26561,False
latency_injection,gatling_p99_ms,bulkhead,retry,0.00032,True
latency_injection,gatling_p99_ms,circuit-breaker,combined,0.0,True
latency_injection,gatling_p99_ms,circuit-breaker,none,1.0,False
latency_injection,gatling_p99_ms,circuit-breaker,retry,0.0,True
latency_injection,gatling_p99_ms,combined,none,0.0,True
latency_injection,gatling_p99_ms,combined,retry,1.0,False
latency_injection,gatling_p99_ms,none,retry,0.0,True
latency_injection,gatling_mean_requests_per_sec,bulkhead,circuit-breaker,0.02429,True
latency_injection,gatling_mean_requests_per_sec,bulkhead,combined,6e-05,True
latency_injection,gatling_mean_requests_per_sec,bulkhead,none,1.0,False
latency_injection,gatling_mean_requests_per_sec,bulkhead,retry,5e-05,True
